Book Title,Author,Highlight,Location
2666 (Spanish Edition),Roberto Bolaño,avestruz,
2666 (Spanish Edition),Roberto Bolaño,yacimientos,
2666 (Spanish Edition),Roberto Bolaño,aledañas,
2666 (Spanish Edition),Roberto Bolaño,aposentaban,
2666 (Spanish Edition),Roberto Bolaño,"glorieta,",
2666 (Spanish Edition),Roberto Bolaño,como si se le hubiera olvidado hablar.,
2666 (Spanish Edition),Roberto Bolaño,que el caso ameritaba.,
2666 (Spanish Edition),Roberto Bolaño,sondearla,
2666 (Spanish Edition),Roberto Bolaño,el estado del almacén la traía sin cuidado.,
2666 (Spanish Edition),Roberto Bolaño,descabellada:,
2666 (Spanish Edition),Roberto Bolaño,renuente,
2666 (Spanish Edition),Roberto Bolaño,secuestradores.,
2666 (Spanish Edition),Roberto Bolaño,mareaba,
2666 (Spanish Edition),Roberto Bolaño,"Un italiano, un francés y un inglés en un avión en donde sólo hay dos paracaídas.",
2666 (Spanish Edition),Roberto Bolaño,capotar),
2666 (Spanish Edition),Roberto Bolaño,"como Schwob en Samoa,",
2666 (Spanish Edition),Roberto Bolaño,"paciencia o conformidad, sino más bien un estado de mansedumbre,",
2666 (Spanish Edition),Roberto Bolaño,"una humildad exquisita e incomprensible que lo hacía llorar sin que viniera a cuento y en donde su propia imagen, lo que Morini percibía de Morini, se iba diluyendo de forma gradual e incontenible, como un río que deja de ser río o como un árbol que se quema en el horizonte sin saber que se está quemando.",
2666 (Spanish Edition),Roberto Bolaño,pernoctado,
2666 (Spanish Edition),Roberto Bolaño,mote.,
2666 (Spanish Edition),Roberto Bolaño,Un mar de luces vacilantes se extendía hacia el sur.,
2666 (Spanish Edition),Roberto Bolaño,aspavientos,
2666 (Spanish Edition),Roberto Bolaño,"lona,",
2666 (Spanish Edition),Roberto Bolaño,atinó,
2666 (Spanish Edition),Roberto Bolaño,tanda,
2666 (Spanish Edition),Roberto Bolaño,vientre,
2666 (Spanish Edition),Roberto Bolaño,centellas,
2666 (Spanish Edition),Roberto Bolaño,"altibajos,",
2666 (Spanish Edition),Roberto Bolaño,"azabache,",
2666 (Spanish Edition),Roberto Bolaño,propinas.,
2666 (Spanish Edition),Roberto Bolaño,platiqué,
2666 (Spanish Edition),Roberto Bolaño,madriza,
2666 (Spanish Edition),Roberto Bolaño,baldazos,
2666 (Spanish Edition),Roberto Bolaño,para que se meta en su coche y se largue.,
2666 (Spanish Edition),Roberto Bolaño,Los radiotaxis están en paz con todo el mundo —dijo el Cerdo.,
2666 (Spanish Edition),Roberto Bolaño,renqueando,
2666 (Spanish Edition),Roberto Bolaño,"perentoria,",
2666 (Spanish Edition),Roberto Bolaño,pedazo de la taza del baño.,
2666 (Spanish Edition),Roberto Bolaño,ladrido.,
2666 (Spanish Edition),Roberto Bolaño,enlosado,
2666 (Spanish Edition),Roberto Bolaño,con forma de galletas untadas de yeso.,
2666 (Spanish Edition),Roberto Bolaño,meditabundos,
2666 (Spanish Edition),Roberto Bolaño,indicándoles a qué facultades pertenecían.,
2666 (Spanish Edition),Roberto Bolaño,aspersores,
2666 (Spanish Edition),Roberto Bolaño,"aunque acto seguido los entristeció,",
2666 (Spanish Edition),Roberto Bolaño,comparaba el desierto con un jardín petrificado.,
2666 (Spanish Edition),Roberto Bolaño,engalanada,
2666 (Spanish Edition),Roberto Bolaño,"trastabillando,",
2666 (Spanish Edition),Roberto Bolaño,altavoces,
2666 (Spanish Edition),Roberto Bolaño,"pescuezo,",
2666 (Spanish Edition),Roberto Bolaño,asidero,
2666 (Spanish Edition),Roberto Bolaño,riqueza a menudo atroz del,
2666 (Spanish Edition),Roberto Bolaño,"podía ser visto como un náufrago,",
2666 (Spanish Edition),Roberto Bolaño,"descuidadamente vestido, un profesor inexistente",
2666 (Spanish Edition),Roberto Bolaño,de un solo bocado,
2666 (Spanish Edition),Roberto Bolaño,la mala pata,
2666 (Spanish Edition),Roberto Bolaño,"a pasos de gigante,",
2666 (Spanish Edition),Roberto Bolaño,no del todo endurecidas,
2666 (Spanish Edition),Roberto Bolaño,barro,
2666 (Spanish Edition),Roberto Bolaño,arcada,
2666 (Spanish Edition),Roberto Bolaño,"fonemas,",
2666 (Spanish Edition),Roberto Bolaño,"premura,",
2666 (Spanish Edition),Roberto Bolaño,víricas,
2666 (Spanish Edition),Roberto Bolaño,sesgado.,
2666 (Spanish Edition),Roberto Bolaño,sastre,
2666 (Spanish Edition),Roberto Bolaño,"en lo inerte y también en lo inerme,",
2666 (Spanish Edition),Roberto Bolaño,omóplato.,
2666 (Spanish Edition),Roberto Bolaño,se había desatado un incendio.,
2666 (Spanish Edition),Roberto Bolaño,mueca,
2666 (Spanish Edition),Roberto Bolaño,"su cuota de felicidad en la tierra,",
2666 (Spanish Edition),Roberto Bolaño,"no venían al caso,",
2666 (Spanish Edition),Roberto Bolaño,distaba,
2666 (Spanish Edition),Roberto Bolaño,galeradas.,
2666 (Spanish Edition),Roberto Bolaño,"se agazapaba la astucia, pues",
2666 (Spanish Edition),Roberto Bolaño,sacar tajada de,
2666 (Spanish Edition),Roberto Bolaño,Hay excepciones notables.,
2666 (Spanish Edition),Roberto Bolaño,capas de cal,
2666 (Spanish Edition),Roberto Bolaño,los intelectuales siempre creen que se merecen algo más.,
2666 (Spanish Edition),Roberto Bolaño,"ya de plano,",
2666 (Spanish Edition),Roberto Bolaño,"parvulario,",
2666 (Spanish Edition),Roberto Bolaño,"Tu sombra, sin embargo, ya no te sigue.",
2666 (Spanish Edition),Roberto Bolaño,Tú haces como,
2666 (Spanish Edition),Roberto Bolaño,"una enfermedad que se insinúa, la vanidad herida,",
2666 (Spanish Edition),Roberto Bolaño,proscenio,
